Phase,Magnitude,,
0.27978,13.550865,,
0.280781,13.572176,,
0.281782,13.559279,,
0.282783,13.559437,,
0.283784,13.551064,,
0.284785,13.565448,,
0.285786,13.559842,,
0.286787,13.549903,,
0.287788,13.629066,,
0.288789,13.596868,,
0.28979,13.559442,,
0.290791,13.580107,,
0.291792,13.56994,,
0.292793,13.57283,,
0.293794,13.596429,,
0.294795,13.559448,,
0.295796,13.561589,,
0.296797,13.569079,,
0.297798,13.558149,,
0.298799,13.57392,,
0.2998,13.58212,,
0.300801,13.551419,,
0.301802,13.560519,,
0.302803,13.560634,,
0.303804,13.568239,,
0.304805,13.570187,,
0.305806,13.579609,,
0.306807,13.555598,,
0.307808,13.567507,,
0.308809,13.554589,,
0.30981,13.581775,,
0.310811,13.627231,,
0.311812,13.55371,,
0.312813,13.568274,,
0.313814,13.546912,,
0.314815,13.56026,,
0.315816,13.577004,,
0.316817,13.576626,,
0.317818,13.615609,,
0.318819,13.559381,,
0.31982,13.573954,,
0.320821,13.587431,,
0.321822,13.559905,,
0.322823,13.555135,,
0.323824,13.597205,,
0.324825,13.589696,,
0.325826,13.562676,,
0.326827,13.561011,,
0.327828,13.565997,,
0.328829,13.570322,,
0.32983,13.561051,,
0.330831,13.565631,,
0.331832,13.593832,,
0.332833,13.580219,,
0.333834,13.572325,,
0.334835,13.606635,,
0.335836,13.623958,,
0.336837,13.601931,,
0.337838,13.586865,,
0.338839,13.592123,,
0.33984,13.588336,,
0.340841,13.567063,,
0.341842,13.594834,,
0.342843,13.648169,,
0.343844,13.568542,,
0.344845,13.595768,,
0.345846,13.622245,,
0.346847,13.58492,,
0.347848,13.613485,,
0.348849,13.605569,,
0.34985,13.599691,,
0.350851,13.608577,,
0.351852,13.593323,,
0.352853,13.61444,,
0.353854,13.632415,,
0.354855,13.595953,,
0.355856,13.590028,,
0.356857,13.596521,,
0.357858,13.607442,,
0.358859,13.604994,,
0.35986,13.625683,,
0.360861,13.639239,,
0.361862,13.614198,,
0.362863,13.65571,,
0.363864,13.656973,,
0.364865,13.620831,,
0.365866,13.625621,,
0.366867,13.619415,,
0.367868,13.628994,,
0.368869,13.621767,,
0.36987,13.683061,,
0.370871,13.671659,,
0.371872,13.619,,
0.372873,13.634735,,
0.373874,13.603838,,
0.374875,13.643727,,
0.375876,13.628307,,
0.376877,13.626483,,
0.377878,13.63032,,
0.378879,13.645386,,
0.37988,13.649426,,
0.380881,13.643363,,
0.381882,13.643665,,
0.382883,13.68056,,
0.383884,13.656632,,
0.384885,13.657561,,
0.385886,13.664342,,
0.386887,13.638945,,
0.387888,13.656999,,
0.388889,13.686597,,
0.38989,13.645107,,
0.390891,13.666512,,
0.391892,13.678542,,
0.392893,13.669982,,
0.393894,13.645826,,
0.394895,13.684827,,
0.395896,13.666129,,
0.396897,13.684206,,
0.397898,13.653592,,
0.398899,13.653494,,
0.3999,13.651109,,
0.400901,13.660999,,
0.401902,13.699598,,
0.402903,13.725596,,
0.403904,13.685497,,
0.404905,13.679051,,
0.405906,13.67003,,
0.406907,13.690574,,
0.407908,13.724135,,
0.408909,13.695295,,
0.40991,13.689878,,
0.410911,13.681938,,
0.411912,13.691329,,
0.412913,13.693924,,
0.413914,13.725825,,
0.414915,13.752776,,
0.415916,13.723257,,
0.416917,13.717609,,
0.417918,13.723211,,
0.418919,13.700432,,
0.41992,13.708496,,
0.420921,13.73132,,
0.421922,13.713169,,
0.422923,13.775621,,
0.423924,13.711906,,
0.424925,13.719289,,
0.425926,13.7393,,
0.426927,13.765157,,
0.427928,13.71696,,
0.428929,13.779991,,
0.42993,13.745501,,
0.430931,13.770567,,
0.431932,13.7553,,
0.432933,13.765669,,
0.433934,13.736389,,
0.434935,13.736664,,
0.435936,13.754352,,
0.436937,13.741636,,
0.437938,13.747853,,
0.438939,13.751683,,
0.43994,13.796931,,
0.440941,13.748171,,
0.441942,13.773645,,
0.442943,13.769774,,
0.443944,13.75378,,
0.444945,13.767951,,
0.445946,13.741322,,
0.446947,13.804211,,
0.447948,13.745676,,
0.448949,13.76781,,
0.44995,13.713554,,
0.450951,13.796554,,
0.451952,13.774426,,
0.452953,13.762258,,
0.453954,13.730646,,
0.454955,13.740647,,
0.455956,13.751756,,
0.456957,13.763783,,
0.457958,13.747628,,
0.458959,13.745535,,
0.45996,13.762985,,
0.460961,13.75003,,
0.461962,13.755337,,
0.462963,13.76865,,
0.463964,13.748626,,
0.464965,13.697805,,
0.465966,13.758807,,
0.466967,13.745329,,
0.467968,13.762377,,
0.468969,13.736418,,
0.46997,13.740914,,
0.470971,13.749843,,
0.471972,13.775428,,
0.472973,13.762612,,
0.473974,13.74765,,
