Phase,Magnitude
0.270771,13.806954
0.271772,13.80399
0.272773,13.768475
0.273774,13.805436
0.274775,13.816283
0.275776,13.805636
0.276777,13.81913
0.277778,13.82067
0.278779,13.798412
0.27978,13.810337
0.280781,13.817056
0.281782,13.799021
0.282783,13.784646
0.283784,13.818437
0.284785,13.799484
0.285786,13.775325
0.286787,13.812889
0.287788,13.829271
0.288789,13.790493
0.28979,13.828826
0.290791,13.818436
0.291792,13.782096
0.292793,13.808379
0.293794,13.795342
0.294795,13.803913
0.295796,13.81095
0.296797,13.818227
0.297798,13.858582
0.298799,13.817534
0.2998,13.791824
0.300801,13.828659
0.301802,13.807472
0.302803,13.814105
0.303804,13.806581
0.304805,13.920144
0.305806,13.820644
0.306807,13.781486
0.307808,13.825831
0.308809,13.815447
0.30981,13.805296
0.310811,13.79976
0.311812,13.806716
0.312813,13.81647
0.313814,13.814403
0.314815,13.820207
0.315816,13.823869
0.316817,13.810504
0.317818,13.846946
0.318819,13.8451
0.31982,13.796282
0.320821,13.800348
0.321822,13.833973
0.322823,13.81384
0.323824,13.821507
0.324825,13.824618
0.325826,13.82481
0.326827,13.825242
0.327828,13.827631
0.328829,13.813868
0.32983,13.819847
0.330831,13.816808
0.331832,13.811534
0.332833,13.807896
0.333834,13.826144
0.334835,13.825312
0.335836,13.809641
0.336837,13.792117
0.337838,13.805389
0.338839,13.83164
0.33984,13.819615
0.340841,13.854033
0.341842,13.942387
0.342843,13.796924
0.343844,13.834477
0.344845,13.838614
0.345846,13.837277
0.346847,13.835593
0.347848,13.829698
0.348849,13.835459
0.34985,13.826741
0.350851,13.832123
0.351852,13.802922
0.352853,13.847742
0.353854,13.847136
0.354855,13.830976
0.355856,13.850018
0.356857,13.864489
0.357858,13.851516
0.358859,13.836874
0.35986,13.829192
0.360861,13.820486
0.361862,13.809617
0.362863,13.864604
0.363864,13.831992
0.364865,13.855659
0.365866,13.851615
0.366867,13.837808
0.367868,13.859118
0.368869,13.881101
0.36987,13.825802
0.370871,13.866735
0.371872,13.851238
0.372873,13.84577
0.373874,13.828513
0.374875,13.840261
0.375876,13.850324
0.376877,13.860142
0.377878,13.890898
0.378879,13.867219
0.37988,13.864645
0.380881,13.852748
0.381882,13.880903
0.382883,13.840902
0.383884,13.868818
0.384885,13.877247
0.385886,13.894984
0.386887,13.867198
0.387888,13.820949
0.388889,13.833681
0.38989,13.866564
0.390891,13.874324
0.391892,13.856086
0.392893,13.904665
0.393894,13.866054
0.394895,13.880037
0.395896,13.885354
0.396897,13.870529
0.397898,13.895783
0.398899,13.869977
0.3999,13.911218
0.400901,13.906453
0.401902,13.863449
0.402903,13.895024
0.403904,13.9693
0.404905,13.835131
0.405906,13.889141
0.406907,13.914741
0.407908,13.901661
0.408909,13.901053
0.40991,13.917012
0.410911,13.902116
0.411912,13.922546
0.412913,13.909206
0.413914,13.928188
0.414915,13.927384
0.415916,13.93028
0.416917,13.887476
0.417918,13.912633
0.418919,13.887057
0.41992,13.922938
0.420921,13.930677
0.421922,13.940733
0.422923,13.917134
0.423924,13.953767
0.424925,13.954615
0.425926,13.948242
0.426927,13.929371
0.427928,13.954565
0.428929,13.931291
0.42993,13.94726
0.430931,13.955218
0.431932,13.965419
0.432933,13.949376
0.433934,13.949756
0.434935,13.961597
0.435936,13.958109
0.436937,13.921346
0.437938,13.942413
0.438939,13.956279
0.43994,13.972903
0.440941,13.973271
0.441942,13.975922
0.442943,13.965529
0.443944,13.954865
0.444945,13.958328
0.445946,14.009933
0.446947,13.975025
0.447948,13.947064
0.448949,13.942802
0.44995,13.955138
0.450951,13.988102
0.451952,13.993073
0.452953,13.959364
0.453954,14.029525
0.454955,13.998735
0.455956,13.985439
0.456957,13.999809
0.457958,14.029549
0.458959,13.997694
0.45996,13.991597
0.460961,13.989436
0.461962,13.95904
0.462963,13.967192
0.463964,14.02705
0.464965,13.971029
0.465966,14.019419
0.466967,13.976218
0.467968,13.981671
0.468969,13.982573
0.46997,14.040973
0.470971,13.996801
0.471972,14.006021
0.472973,14.001044
0.473974,13.98617
0.474975,14.004227
0.475976,14.014821
0.476977,14.082593
0.477978,14.041191
0.478979,14.047968
0.47998,13.989643
0.480981,14.014663
0.481982,14.009254
0.482983,13.988062
0.483984,13.990718
0.484985,14.001482
0.485986,14.003159
0.486987,14.001055
0.487988,14.014687
0.488989,14.019583
0.48999,13.99781
0.490991,13.975607
0.491992,13.999138
0.492993,14.034673
0.493994,14.034557
0.494995,14.010055
0.495996,13.999762
0.496997,13.965963
0.497998,13.993537
0.498999,14.010157
0.5,14.029577
0.5,13.985029
0.501001,14.000156
0.502002,13.963354
0.503003,13.980841
0.504004,13.987114
0.505005,14.02387
0.506006,14.021657
0.507007,14.004342
0.508008,13.98522
0.509009,14.021074
0.51001,14.019857
0.511011,14.002149
0.512012,14.026906
0.513013,14.023782
0.514014,14.058436
0.515015,13.999868
0.516016,14.013329
0.517017,14.003861
0.518018,14.006814
0.519019,14.026445
0.52002,13.996512
0.521021,14.019054
0.522022,14.003421
0.523023,13.969086
0.524024,14.00272
0.525025,14.011008
0.526026,14.019028
0.527027,14.002548
0.528028,14.023686
0.529029,14.02577
0.53003,14.023032
0.531031,13.996862
0.532032,13.987361
0.533033,13.977771
0.534034,14.030749
0.535035,13.978251
0.536036,14.048456
0.537037,13.967883
0.538038,14.030731
0.539039,13.973622
0.54004,13.952723
0.541041,14.004572
0.542042,14.007219
0.543043,14.001273
0.544044,14.008291
0.545045,13.990256
0.546046,13.985501
0.547047,13.992368
0.548048,13.998732
0.549049,13.935017
0.55005,13.96406
0.551051,13.990989
0.552052,13.974228
0.553053,14.003311
0.554054,13.979232
0.555055,14.059588
0.556056,13.984583
0.557057,13.941224
0.558058,13.977659
0.559059,13.93602
0.56006,13.985305
0.561061,13.988651
0.562062,13.98574
0.563063,13.974362
0.564064,13.990418
0.565065,14.009876
0.566066,13.913222
0.567067,13.95228
0.568068,13.978949
0.569069,13.939205
0.57007,13.95611
0.571071,13.93577
0.572072,14.002796
0.573073,13.976389
0.574074,13.972815
0.575075,13.951181
0.576076,13.95979
0.577077,13.929507
0.578078,13.97053
0.579079,13.958223
0.58008,13.950039
0.581081,13.949388
0.582082,13.965935
0.583083,13.920269
0.584084,13.901604
0.585085,13.892405
0.586086,13.935482
0.587087,13.895173
0.588088,13.986293
0.589089,13.958199
0.59009,13.943381
0.591091,13.933839
0.592092,13.942212
0.593093,13.976942
0.594094,13.905157
0.595095,13.91761
0.596096,13.915323
0.597097,13.978124
0.598098,13.933899
0.599099,13.902407
0.6001,13.939797
0.601101,13.925689
0.602102,13.868503
0.603103,13.934294
0.604104,13.913567
0.605105,13.932863
0.606106,13.926367
0.607107,13.893454
0.608108,13.954663
0.609109,13.925925
0.61011,13.883982
0.611111,13.868512
0.612112,13.877788
0.613113,13.94992
0.614114,13.909725
0.615115,13.870728
0.616116,13.916545
0.617117,13.888713
0.618118,13.894441
0.619119,13.869468
0.62012,13.880775
0.621121,13.851283
0.622122,13.882596
0.623123,13.866087
0.624124,13.914267
0.625125,13.908672
0.626126,13.88888
0.627127,13.870566
0.628128,13.860627
0.629129,13.88979
0.63013,13.877637
0.631131,13.914526
0.632132,13.850265
0.633133,13.893595
0.634134,13.886691
0.635135,13.877298
0.636136,13.878913
0.637137,13.825113
0.638138,13.870026
0.639139,13.864016
0.64014,13.890515
0.641141,13.877601
0.642142,13.903425
0.643143,13.856715
0.644144,13.841597
0.645145,13.829011
0.646146,13.857316
0.647147,13.861781
0.648148,13.908271
0.649149,13.877256
0.65015,13.8754
0.651151,13.851998
0.652152,13.856831
0.653153,13.87227
0.654154,13.861197
0.655155,13.861687
0.656156,13.850405
0.657157,13.861897
0.658158,13.86968
0.659159,13.923685
0.66016,13.84421
0.661161,13.870587
0.662162,13.860478
0.663163,13.849709
0.664164,13.879808
0.665165,13.858539
0.666166,13.883035
0.667167,13.844021
0.668168,13.863941
0.669169,13.847076
0.67017,13.793717
0.671171,13.859754
0.672172,13.869745
0.673173,13.863732
0.674174,13.8268
0.675175,13.925162
0.676176,13.893673
0.677177,13.868752
0.678178,13.871859
0.679179,13.830387
0.68018,13.847113
0.681181,13.847618
0.682182,13.829414
0.683183,13.853886
0.684184,13.863364
0.685185,13.866772
0.686186,13.868867
0.687187,13.826293
0.688188,13.826446
0.689189,13.841107
0.69019,13.870887
0.691191,13.838624
0.692192,13.85013
0.693193,13.832653
0.694194,13.841775
0.695195,13.867195
0.696196,13.837084
0.697197,13.867136
0.698198,13.875261
0.699199,13.858534
0.7002,13.845815
0.701201,13.876959
0.702202,13.842587
0.703203,13.83911
0.704204,13.878519
0.705205,13.833735
0.706206,13.828111
0.707207,13.828912
0.708208,13.825467
0.709209,13.814525
0.71021,13.846017
0.711211,13.859894
0.712212,13.827563
0.713213,13.843971
0.714214,13.865838
0.715215,13.852177
0.716216,13.834343
0.717217,13.853274
0.718218,13.903569
0.719219,13.808731
0.72022,13.84501
0.721221,13.837027
0.722222,13.828055
0.723223,13.884342
0.724224,13.836333
0.725225,13.840281
0.726226,13.820099
0.727227,13.830494
0.728228,13.822542
0.729229,13.838288
0.73023,13.814581
0.731231,13.828749
0.732232,13.820321
0.733233,13.850106
0.734234,13.890417
0.735235,13.841749
0.736236,13.841591
0.737237,13.811983
0.738238,13.854573
0.739239,13.844433
0.74024,13.8353
0.741241,13.841055
0.742242,13.840104
0.743243,13.838276
0.744244,13.82335
0.745245,13.830586
0.746246,13.831892
0.747247,13.82267
0.748248,13.843438
0.749249,13.825475
0.75025,13.842887
0.751251,13.874174
0.752252,13.828625
0.753253,13.812166
0.754254,13.811719
0.755255,13.839369
0.756256,13.817016
0.757257,13.848407
0.758258,13.873292
0.759259,13.845491
0.76026,13.834623
0.761261,13.797072
0.762262,13.826265
0.763263,13.845057
0.764264,13.856175
0.765265,13.841215
0.766266,13.82282
0.767267,13.83181
0.768268,13.820271
0.769269,13.86402
0.77027,13.843632
0.771271,13.850591
0.772272,13.841679
0.773273,13.857033
0.774274,13.823184
0.775275,13.872377
0.776276,13.836575
0.777277,13.817591
0.778278,13.818672
0.779279,13.863586
0.78028,13.867545
0.781281,13.850741
0.782282,13.857048
0.783283,13.865208
0.784284,13.855335
0.785285,13.864941
0.786286,13.859174
0.787287,13.839734
0.788288,13.842848
0.789289,13.871168
0.79029,13.856227
0.791291,13.84734
0.792292,13.850199
0.793293,13.854421
0.794294,13.835951
0.795295,13.8623
0.796296,13.868554
0.797297,13.88139
0.798298,13.852525
0.799299,13.85919
0.8003,13.856637
0.801301,13.836139
0.802302,13.846801
0.803303,13.883915
0.804304,13.858723
0.805305,13.843279
0.806306,13.884051
0.807307,13.886119
0.808308,13.872696
0.809309,13.884849
0.81031,13.85023
0.811311,13.845552
0.812312,13.910634
0.813313,13.886546
0.814314,13.877804
0.815315,13.881077
0.816316,13.86557
0.817317,13.868087
0.818318,13.874271
0.819319,13.879782
0.82032,13.887749
0.821321,13.863675
0.822322,13.915818
0.823323,13.881347
0.824324,13.880599
0.825325,13.878729
0.826326,13.851586
0.827327,13.902595
0.828328,13.89614
0.829329,13.896451
0.83033,13.86106
0.831331,13.868003
0.832332,13.952675
0.833333,13.876652
0.834334,13.941854
0.835335,13.923006
0.836336,13.882876
0.837337,13.883753
0.838338,13.890608
0.839339,13.879283
0.84034,13.898736
0.841341,13.884497
0.842342,13.896615
0.843343,13.898706
0.844344,13.90255
0.845345,13.916861
